"","NOC691","V1","V2","V3","V4"
"1","0011 Legislators",7985,0,0,0
"2","0012 Senior government managers and officials",18200,0,0,0
"3","0013 Senior managers - financial, communications and other business services",57930,0,0,0
"4","0014 Senior managers - health, education, social and community services and membership organizations",26455,0,0,0
"5","0015 Senior managers - trade, broadcasting and other services, n.e.c.",47890,0,0,0
"6","0016 Senior managers - construction, transportation, production and utilities",56430,0,0,0
"7","0111 Financial managers",75355,0,0,0
"8","0112 Human resources managers",50420,0,0,0
"9","0113 Purchasing managers",21935,0,0,0
"10","0114 Other administrative services managers",32560,0,0,0
"11","0121 Insurance, real estate and financial brokerage managers",29540,0,0,0
"12","0122 Banking, credit and other investment managers",62650,0,0,0
"13","0124 Advertising, marketing and public relations managers",67915,0,0,0
"14","0125 Other business services managers",21095,0,0,0
"15","0131 Telecommunication carriers managers",14235,1,1,0
"16","0132 Postal and courier services managers",3575,0,0,0
"17","0211 Engineering managers",19725,1,0,1
"18","0212 Architecture and science managers",8965,0,0,0
"19","0213 Computer and information systems managers",63465,1,1,0
"20","0311 Managers in health care",32565,0,0,0
"21","0411 Government managers - health and social policy development and program administration",5485,0,0,0
"22","0412 Government managers - economic analysis, policy development and program administration",7845,0,0,0
"23","0413 Government managers - education policy development and program administration",1315,0,0,0
"24","0414 Other managers in public administration",8775,0,0,0
"25","0421 Administrators - post-secondary education and vocational training",17570,0,0,0
"26","0422 School principals and administrators of elementary and secondary education",32000,0,0,0
"27","0423 Managers in social, community and correctional services",30085,0,0,0
"28","0431 Commissioned police officers",2055,0,0,0
"29","0432 Fire chiefs and senior firefighting officers",2480,0,0,0
"30","0433 Commissioned officers of the Canadian Armed Forces",15645,0,0,0
"31","0511 Library, archive, museum and art gallery managers",4965,0,0,0
"32","0512 Managers - publishing, motion pictures, broadcasting and performing arts",7610,0,0,0
"33","0513 Recreation, sports and fitness program and service directors",12480,0,0,0
"34","0601 Corporate sales managers",69130,0,0,0
"35","0621 Retail and wholesale trade managers",388055,0,0,0
"36","0631 Restaurant and food service managers",126415,0,0,0
"37","0632 Accommodation service managers",25555,0,0,0
"38","0651 Managers in customer and personal services, n.e.c.",26665,0,0,0
"39","0711 Construction managers",82170,0,0,0
"40","0712 Home building and renovation managers",45745,0,0,0
"41","0714 Facility operation and maintenance managers",57645,0,0,0
"42","0731 Managers in transportation",34720,0,0,0
"43","0811 Managers in natural resources production and fishing",12780,0,0,0
"44","0821 Managers in agriculture",144975,0,0,0
"45","0822 Managers in horticulture",4930,0,0,0
"46","0823 Managers in aquaculture",1240,0,0,0
"47","0911 Manufacturing managers",69755,0,0,0
"48","0912 Utilities managers",10280,0,0,0
"49","1111 Financial auditors and accountants",200280,0,0,0
"50","1112 Financial and investment analysts",53315,0,0,0
"51","1113 Securities agents, investment dealers and brokers",14390,0,0,0
"52","1114 Other financial officers",114650,0,0,0
"53","1121 Human resources professionals",76575,0,0,0
"54","1122 Professional occupations in business management consulting",78210,0,0,0
"55","1123 Professional occupations in advertising, marketing and public relations",94945,0,0,0
"56","1211 Supervisors, general office and administrative support workers",13410,0,0,0
"57","1212 Supervisors, finance and insurance office workers",19645,0,0,0
"58","1213 Supervisors, library, correspondence and related information workers",4155,0,0,0
"59","1214 Supervisors, mail and message distribution occupations",8555,0,0,0
"60","1215 Supervisors, supply chain, tracking and scheduling co-ordination occupations",47850,0,0,0
"61","1221 Administrative officers",277090,0,0,0
"62","1222 Executive assistants",46745,0,0,0
"63","1223 Human resources and recruitment officers",32530,0,0,0
"64","1224 Property administrators",43925,0,0,0
"65","1225 Purchasing agents and officers",47080,0,0,0
"66","1226 Conference and event planners",25210,0,0,0
"67","1227 Court officers and justices of the peace",4770,0,0,0
"68","1228 Employment insurance, immigration, border services and revenue officers",32670,0,0,0
"69","1241 Administrative assistants",261215,0,0,0
"70","1242 Legal administrative assistants",40455,0,0,0
"71","1243 Medical administrative assistants",56240,0,0,0
"72","1251 Court reporters, medical transcriptionists and related occupations",10815,0,0,0
"73","1252 Health information management occupations",5415,0,0,0
"74","1253 Records management technicians",7580,0,0,0
"75","1254 Statistical officers and related research support occupations",4805,0,0,0
"76","1311 Accounting technicians and bookkeepers",137815,0,0,0
"77","1312 Insurance adjusters and claims examiners",28790,0,0,0
"78","1313 Insurance underwriters",15200,0,0,0
"79","1314 Assessors, valuators and appraisers",11555,0,0,0
"80","1315 Customs, ship and other brokers",4165,0,0,0
"81","1411 General office support workers",253475,0,0,0
"82","1414 Receptionists",163500,0,0,0
"83","1415 Personnel clerks",12585,0,0,0
"84","1416 Court clerks",3000,0,0,0
"85","1422 Data entry clerks",39535,0,0,0
"86","1423 Desktop publishing operators and related occupations",1735,0,0,0
"87","1431 Accounting and related clerks",152020,0,0,0
"88","1432 Payroll administrators",35725,0,0,0
"89","1434 Banking, insurance and other financial clerks",25150,0,0,0
"90","1435 Collectors",14565,0,0,0
"91","1451 Library assistants and clerks",18295,0,0,0
"92","1452 Correspondence, publication and regulatory clerks",25290,0,0,0
"93","1454 Survey interviewers and statistical clerks",25900,0,0,0
"94","1511 Mail, postal and related workers",31255,0,0,0
"95","1512 Letter carriers",30010,0,0,0
"96","1513 Couriers, messengers and door-to-door distributors",24115,0,0,0
"97","1521 Shippers and receivers",114250,0,0,0
"98","1522 Storekeepers and partspersons",44225,0,0,0
"99","1523 Production logistics co-ordinators",26670,0,0,0
"100","1524 Purchasing and inventory control workers",31130,0,0,0
"101","1525 Dispatchers",39045,0,0,0
"102","1526 Transportation route and crew schedulers",6515,0,0,0
"103","2111 Physicists and astronomers",2975,1,0,1
"104","2112 Chemists",13520,0,0,0
"105","2113 Geoscientists and oceanographers",11970,0,0,0
"106","2114 Meteorologists and climatologists",1160,0,0,0
"107","2115 Other professional occupations in physical sciences",1310,0,0,0
"108","2121 Biologists and related scientists",21880,0,0,0
"109","2122 Forestry professionals",4700,0,0,0
"110","2123 Agricultural representatives, consultants and specialists",7015,0,0,0
"111","2131 Civil engineers",57880,1,0,1
"112","2132 Mechanical engineers",54585,1,0,1
"113","2133 Electrical and electronics engineers",46410,1,1,0
"114","2134 Chemical engineers",12415,1,0,1
"115","2141 Industrial and manufacturing engineers",16660,0,0,0
"116","2142 Metallurgical and materials engineers",2835,1,0,1
"117","2143 Mining engineers",3670,1,0,1
"118","2144 Geological engineers",2975,1,0,1
"119","2145 Petroleum engineers",8630,1,0,1
"120","2146 Aerospace engineers",6310,1,0,1
"121","2147 Computer engineers (except software engineers and designers)",23465,1,1,0
"122","2148 Other professional engineers, n.e.c.",4980,1,0,1
"123","2151 Architects",16285,0,0,0
"124","2152 Landscape architects",2050,0,0,0
"125","2153 Urban and land use planners",12655,0,0,0
"126","2154 Land surveyors",7975,0,0,0
"127","2161 Mathematicians, statisticians and actuaries",12800,1,1,0
"128","2171 Information systems analysts and consultants",159895,1,1,0
"129","2172 Database analysts and data administrators",21675,1,1,0
"130","2173 Software engineers and designers",47545,1,1,0
"131","2174 Computer programmers and interactive media developers",104085,1,1,0
"132","2175 Web designers and developers",25735,1,1,0
"133","2211 Chemical technologists and technicians",24720,0,0,0
